Name,"Flour, white, all purpose, per lb. (453.6 gm)","Rice, white, long grain, uncooked, per lb. (453.6 gm)","Spaghetti and macaroni, per lb. (453.6 gm)","Bread, white, pan, per lb. (453.6 gm)","Bread, French, per lb. (453.6 gm)","Bread, whole wheat, pan, per lb. (453.6 gm)","Cookies, chocolate chip, per lb. (453.6 gm)","Crackers, soda, salted, per lb. (453.6 gm)","Ground chuck, 100% beef, per lb. (453.6 gm)","Ground beef, 100% beef, per lb. (453.6 gm)","Ground beef, lean and extra lean, per lb. (453.6 gm)","Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm)","Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)","Round roast, USDA Choice, boneless, per lb. (453.6 gm)","Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Rib roast, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm)","Short ribs, any primal source, bone-in, per lb. (453.6 gm)","Beef for stew, boneless, per lb. (453.6 gm)","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)","Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)","Bacon, sliced, per lb. (453.6 gm)","Chops, center cut, bone-in, per lb. (453.6 gm)","Chops, boneless, per lb. (453.6 gm)","Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm)","Ham, boneless, excluding canned, per lb. (453.6 gm)","Ham, canned, 3 or 5 lbs, per lb. (453.6 gm)","Shoulder picnic, bone-in, smoked, per lb. (453.6 gm)","Sausage, fresh, loose, per lb. (453.6 gm)","Frankfurters, all meat or all beef, per lb. (453.6 gm)","Bologna, all beef or mixed, per lb. (453.6 gm)","Lamb and mutton, bone-in, per lb. (453.6 gm)","Chicken, fresh, whole, per lb. (453.6 gm)","Chicken breast, bone-in, per lb. (453.6 gm)","Chicken legs, bone-in, per lb. (453.6 gm)","Turkey, frozen, whole, per lb. (453.6 gm)","Tuna, light, chunk, per lb. (453.6 gm)","Eggs, grade A, large, per doz.","Eggs, grade AA, large, per doz.","Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit)","Milk, fresh, whole, fortified, per gal. (3.8 lit)","Milk, fresh, low fat, per 1/2 gal. (1.9 lit)","Milk, fresh, low fat, per gal. (3.8 lit)","Butter, salted, grade AA, stick, per lb. (453.6 gm)","Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm)","American processed cheese, per lb. (453.6 gm)","Cheddar cheese, natural, per lb. (453.6 gm)","Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)","Apples, Red Delicious, per lb. (453.6 gm)","Bananas, per lb. (453.6 gm)","Oranges, Navel, per lb. (453.6 gm)","Oranges, Valencia, per lb. (453.6 gm)","Grapefruit, per lb. (453.6 gm)","Lemons, per lb. (453.6 gm)","Pears, Anjou, per lb. (453.6 gm)","Peaches, per lb. (453.6 gm)","Strawberries, dry pint, per 12 oz. (340.2 gm)","Grapes, Thompson Seedless, per lb. (453.6 gm)","Cherries, per lb. (453.6 gm)","Potatoes, white, per lb. (453.6 gm)","Lettuce, iceberg, per lb. (453.6 gm)","Tomatoes, field grown, per lb. (453.6 gm)","Cabbage, per lb. (453.6 gm)","Celery, per lb. (453.6 gm)","Carrots, short trimmed and topped, per lb. (453.6 gm)","Onions, dry yellow, per lb. (453.6 gm)","Peppers, sweet, per lb. (453.6 gm)","Cucumbers, per lb. (453.6 gm)","Broccoli, per lb. (453.6 gm)","Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)","Apple Sauce, any variety, all sizes, per lb. (453.6 gm)","Peaches, any variety, all sizes, per lb. (453.6 gm)","Potatoes, frozen, French fried, per lb. (453.6 gm)","Corn, canned, any style, all sizes, per lb. (453.6 gm)","Tomatoes, canned, any type, all sizes,  per lb. (453.6 gm)","Beans, dried, any type, all sizes, per lb. (453.6 gm)","Sugar, white, all sizes, per lb. (453.6 gm)","Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm)","Margarine, stick, per lb. (453.6 gm)","Margarine, soft, tubs, per lb. (453.6 gm)","Shortening, vegetable oil blends, per lb. (453.6 gm)","Peanut butter, creamy, all sizes, per lb. (453.6 gm)","Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml)","Cola, nondiet, per 2 liters (67.6 oz)","Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)","Coffee, instant, plain, regular, all sizes, per lb. (453.6 gm)","Potato chips, per 16 oz.","Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml)","Vodka, all types, all sizes, any origin, per 1 liter (33.8 oz)","Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)",Fuel oil #2 per gallon (3.785 liters),Utility (piped) gas - 40 therms,Electricity per KWH,Utility (piped) gas - 100 therms,Utility (piped) gas per therm,Electricity per 500 KWH,"Gasoline, leaded regular (cost per gallon/3.8 liters)","Gasoline, unleaded regular, per gallon/3.785 liters","Gasoline, unleaded midgrade, per gallon/3.785 liters","Gasoline, unleaded premium, per gallon/3.785 liters","Automotive diesel fuel, per gallon/3.785 liters","Gasoline, all types, per gallon/3.785 liters","All uncooked ground beef, per lb. (453.6 gm)","All Uncooked Beef Roasts, per lb. (453.6 gm)","All Uncooked Beef Steaks, per lb. (453.6 gm)","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)","All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)","All Pork Chops, per lb. (453.6 gm)","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)","Chicken breast, boneless, per lb. (453.6 gm)","Lettuce, romaine, per lb. (453.6 gm)"
"Nov
1990",0.235,0.507,0.847,0.71,,,2.639,,1.999,1.622,,2.146,,2.572,2.952,,4.557,5.406,,,,3.394,,3.735,,4.242,2.242,3.369,,,,,1.394,2.391,2.444,2.61,,0.88,2.07,1.155,0.911,2.108,1.018,,1.425,,,,1.923,,,,2.574,0.741,0.429,0.585,,0.551,1.076,,,,1.544,,0.315,0.783,0.862,0.354,0.452,0.378,,,0.578,,2.102,,,0.831,,,,0.429,0.401,0.845,,0.917,1.952,,,2.945,,2.971,,,,1.305,25.474,0.082,56.952,0.596,42.125,1.351,1.377,,1.559,,1.432,,,,,,,,,
"Dec
1990",0.236,0.491,0.85,0.7,,,2.523,,2.022,1.63,,2.148,,2.597,3.015,,4.542,5.454,,,,3.424,,3.645,,4.244,2.283,3.322,,,,,1.406,2.416,2.404,2.604,,0.858,2.001,1.165,0.96,2.109,1.001,,1.389,,,,1.922,,,,2.54,0.772,0.43,0.563,,0.564,0.974,0.789,,,,,0.318,0.579,0.858,0.394,0.49,0.435,,,0.562,,2.021,,,0.85,,,,0.429,0.401,0.873,,0.928,2.066,,,2.941,,2.971,,,,1.273,25.945,0.082,57.572,0.605,42.145,1.335,1.354,,1.537,,1.41,,,,,,,,,
"Jan
1991",0.244,0.494,0.874,0.705,1.276,1.102,2.558,,1.996,1.647,2.184,2.16,2.186,2.622,3.082,2.759,4.709,5.381,6.639,2.659,2.586,3.389,3.041,3.689,3.921,4.293,2.257,3.245,,1.73,3.095,3.146,1.4,2.425,2.411,2.631,3.506,0.886,2.039,1.195,0.994,2.099,1.106,,1.379,,1.322,,1.935,0.63,3.492,3.588,2.546,0.81,0.438,0.823,,0.611,1.133,0.739,,,1.942,,0.332,0.68,0.912,0.443,0.576,0.52,0.381,1.101,0.712,,2.005,,,0.853,,,,0.434,0.406,0.876,1.274,0.928,2.129,,,2.945,,2.99,,,,1.235,26.438,0.084,58.855,0.617,43.226,1.246,1.247,,1.431,,1.304,,,,,,,,,
"Feb
1991",0.235,0.492,0.868,0.701,1.241,1.111,2.536,,1.992,1.632,2.176,2.157,2.246,2.602,3.038,2.845,4.685,5.436,6.337,2.608,2.528,3.386,3.12,3.607,3.948,4.234,2.301,3.257,,1.668,3.004,3.166,1.391,2.452,2.376,2.584,3.56,0.903,2.042,1.182,1.012,2.101,0.987,,1.369,,1.315,,1.956,0.659,3.442,3.604,2.522,0.838,0.485,0.93,,0.595,1.096,0.795,1.243,1.467,1.483,,0.33,0.548,0.84,0.377,0.598,0.513,0.397,1.071,0.788,,1.971,,,0.839,,,,0.43,0.401,0.875,1.277,0.917,2.183,,,2.971,,2.982,,,,1.17,26.07,0.084,58.046,0.608,43.413,1.137,1.143,,1.321,,1.198,,,,,,,,,
"Mar
1991",0.235,0.498,0.887,0.702,1.258,1.07,2.564,,1.971,1.61,2.151,2.092,2.166,2.619,3.081,2.884,4.733,5.456,6.357,2.633,2.663,3.473,3.215,3.695,3.889,4.342,2.318,3.265,,1.674,2.903,3.211,1.333,2.348,2.416,2.585,3.435,0.899,2.035,1.159,0.978,2.106,1.069,,1.374,,1.306,,1.943,0.667,3.46,3.548,2.561,0.843,0.577,,,0.603,1.079,0.812,1.273,1.268,1.432,,0.327,0.512,0.948,0.344,0.502,0.445,0.378,1.113,0.766,,1.902,,,0.822,,,,0.434,0.406,0.864,1.261,0.907,2.178,,,2.894,,2.954,,,,1.086,25.781,0.085,57.261,0.599,43.467,1.047,1.082,,1.264,,1.138,,,,,,,,,
"Apr
1991",0.237,0.502,0.876,0.701,1.25,1.056,2.565,,1.98,1.611,2.184,2.139,2.238,2.631,3.106,2.947,4.743,5.448,6.303,2.632,2.588,3.482,3.254,3.733,4.016,4.371,2.271,3.272,,1.636,2.82,3.177,1.309,2.371,2.386,2.611,3.529,0.885,2.032,1.152,1.005,2.089,1.002,,1.365,,1.304,,1.933,0.646,3.434,3.514,2.521,0.86,0.547,,,0.615,1.183,0.827,,1.112,1.502,,0.339,0.563,1.21,0.367,0.476,0.475,0.46,1.39,0.921,,1.909,,,0.811,,,,0.433,0.403,0.891,1.283,0.881,2.208,,,2.924,,2.96,,,,1.016,25.459,0.084,56.796,0.587,42.961,1.062,1.104,,1.281,,1.159,,,,,,,,,
"May
1991",0.235,0.502,0.885,0.705,1.236,1.047,2.743,,1.988,1.624,2.188,2.1,2.272,2.588,3.102,2.892,4.783,5.508,6.358,2.639,2.613,3.488,3.145,3.859,4.132,4.452,2.311,3.279,,1.635,2.802,3.23,1.294,2.449,2.404,2.582,3.658,0.883,2.108,1.154,1.006,2.067,0.908,,1.359,,1.298,,1.94,0.647,3.398,3.479,2.561,0.892,0.584,,0.756,0.625,1.271,0.849,,0.976,,,0.343,0.62,1.457,0.41,0.636,0.436,0.539,1.415,0.685,,1.877,,,0.832,,,,0.431,0.4,0.878,1.285,0.862,2.202,,,2.879,,2.937,,,,0.968,26.307,0.085,57.209,0.598,43.547,,1.156,,1.331,,1.209,,,,,,,,,
"Jun
1991",0.237,0.506,0.88,0.705,1.231,1.048,2.797,,1.987,1.604,2.143,2.1,2.275,2.599,3.01,2.842,4.784,5.604,6.027,2.653,2.572,3.447,3.199,3.861,4.137,4.41,2.305,3.41,,1.621,2.815,3.255,1.288,2.392,2.4,2.571,3.572,0.878,2.095,1.157,1.02,2.037,0.884,,1.366,,1.297,,1.897,0.653,3.378,3.528,2.585,0.936,0.532,,0.871,0.686,1.296,0.976,0.999,0.924,,2.348,0.386,0.73,1.672,0.436,0.606,0.46,0.578,1.41,0.757,,1.848,,,0.835,,,,0.432,0.398,0.871,1.288,0.861,2.172,0.449,,2.866,,3.062,,,,0.945,25.763,0.09,56.084,0.586,44.652,,1.16,,1.338,,1.214,,,,,,,,,
"Jul
1991",0.239,0.503,0.865,0.7,1.246,1.062,2.762,,1.96,1.586,2.146,2.055,2.26,2.515,3.015,2.782,4.752,5.4,6.165,2.654,2.592,3.412,3.116,3.767,4.115,4.407,2.309,3.418,,1.707,2.877,3.284,1.275,2.466,2.259,2.593,3.603,0.888,2.089,1.164,1.028,2.066,0.966,,1.348,,1.29,,1.925,0.648,3.383,3.597,2.592,0.956,0.516,,0.927,0.695,1.338,,0.786,0.948,1.376,2.177,0.376,0.528,1.166,0.406,0.602,0.435,0.536,1.153,0.571,,1.807,,,0.843,,,,0.435,0.401,0.879,1.269,0.866,2.184,0.413,,2.805,,2.929,,,,0.926,26.011,0.091,56.317,0.589,45.015,,1.127,,1.313,,1.185,,,,,,,,,
"Aug
1991",0.238,0.494,0.859,0.714,1.25,1.076,2.754,,1.97,1.578,2.167,2.051,2.223,2.51,3.001,2.698,4.748,5.417,6.173,2.644,2.609,3.355,3.179,3.689,3.991,4.38,2.219,3.327,,1.685,2.904,3.263,1.286,2.498,2.325,2.668,3.687,0.869,2.145,1.163,1.034,2.033,1.024,,1.358,,1.301,,1.934,0.635,3.379,3.586,2.605,0.964,0.416,,0.983,0.676,1.294,,0.693,0.961,1.073,,0.35,0.495,0.795,0.415,0.479,0.401,0.454,1.088,0.55,,1.767,,,0.861,,,,0.428,0.396,0.886,1.283,0.853,2.16,0.43,,2.724,,2.939,,,,0.927,25.826,0.09,55.824,0.584,44.834,,1.14,,1.318,,1.196,,,,,,,,,
"Sep
1991",0.232,0.506,0.86,0.717,1.259,1.099,2.724,,1.95,1.553,2.131,2.017,2.221,2.464,2.943,2.727,4.612,5.246,6.182,2.627,2.578,3.362,3.157,3.724,3.77,4.229,2.16,3.285,,1.722,2.925,3.158,1.237,2.474,2.336,2.583,,0.874,2.087,1.136,1.031,2.082,0.987,,1.364,,1.313,,1.924,0.637,3.449,3.597,2.621,0.974,0.432,,1.053,0.662,1.288,,0.788,1.014,1.019,,0.314,0.509,0.759,0.401,0.437,0.377,0.392,0.929,0.505,,1.756,,,0.855,,,,0.422,0.393,0.877,1.286,0.84,2.121,0.43,,2.692,,2.901,,,,0.942,26.012,0.091,56.187,0.589,45.083,,1.143,,1.324,,1.199,,,,,,,,,
"Oct
1991",0.23,0.508,0.852,0.72,1.251,1.066,2.75,,1.942,1.552,2.137,2.017,2.228,2.465,2.94,2.816,4.614,5.236,5.909,2.662,2.591,3.328,3.153,3.731,3.62,4.19,2.121,3.179,,1.701,2.941,3.138,1.231,2.404,2.245,2.578,,0.878,2.026,1.12,1.04,2.07,0.976,,1.364,,1.326,,1.962,0.634,3.471,3.519,2.594,0.846,0.395,,0.959,0.58,1.322,,,1.035,1.11,,0.29,0.517,0.714,0.379,0.452,0.372,0.351,0.908,0.522,,1.718,,,0.866,,,,0.42,0.389,0.878,1.295,0.848,2.109,0.462,,2.706,,3.021,,,,0.966,26.329,0.087,56.951,0.598,44.168,,1.122,,1.307,,1.18,,,,,,,,,
